id,question,category,difficulty,eval_month,expected_call,expected_answer,expected_source,notes
GT-001,What's blooming at Garland Ranch in May?,place_time_blooms,easy,5,answer,"Several plants match Garland Ranch's likely habitats (oak woodland/chaparral/grassland/riparian) in May: Douglas iris, columbine, blue eyed grass, wild hollyhock, sticky monkeyflower, seep monkeyflower, hummingbird sage. 7+ match; a good answer surfaces ~5 of the strongest and offers more.",Douglas iris; Columbine; Blue eyed grass; Wild hollyhock; Sticky monkeyflower; Seep monkey flower; Hummingbird sage,Core J1 baseline. Tests S1 cap-at-5 + offer-more behavior against a larger-than-5 true set.
GT-002,What flowers will I see at Point Lobos in April?,place_time_blooms,easy,4,answer,"Point Lobos's coastal-bluff scrub + Monterey pine forest are bloom-dense in April: sticky monkeyflower, coastal sage brush, seaside daisy, coast indian paintbrush, black sage, Carmel ceanothus, California coffeeberry, California poppy, chia sage, seep monkeyflower, coast twinberry all match -- 11 plants. A good answer surfaces ~5 of the strongest and offers more.",Sticky monkeyflower; Seaside daisy; Carmel ceanothus; Coast indian paintbrush; California poppy,"Core J1 baseline at a different sourced place. Point Lobos's coastal-bluff scrub is the densest habitat tag in the corpus, so April is a large (11-plant) set -- a cap-at-5 + offer-more test. Count corrected 5 -> 11 (2026-06-30 places.json cross-check); the original 'exactly 5, no offer-more' boundary intent is no longer met here and may warrant a dedicated small-true-set record."
GT-003,What's in bloom at Asilomar right now in June?,place_time_blooms,medium,6,answer,"Asilomar's dune/strand + coastal-bluff scrub habitats in June: coastal sage brush, seaside daisy, dune goldenrod, beach evening primrose, beach sand verbena, sticky monkeyflower, California coffeeberry. 7+ match; cap at ~5 and offer more.",Coastal sage brush; Seaside daisy; Dune goldenrod; Beach evening primrose; Beach sand verbena,"J1 baseline, dune/strand-heavy habitat, also embeds a 'right now' phrase resolved by eval_month rather than triggering a hedge -- the place+month framing is explicit enough to answer directly."
GT-004,What will be blooming at Garland Ranch in February?,place_time_blooms,medium,2,answer,"Winter/early-spring bloomers matching Garland Ranch habitats in February: bush poppy, Douglas iris, coast live oak, hummingbird sage, arroyo lupine, big berry manzanita (chaparral only, lower confidence for oak-woodland-heavy areas). 5-6 plants match.",Bush poppy; Douglas iris; Coast live oak; Hummingbird sage; Arroyo lupine,"Off-peak-season J1 case, deliberately not spring/summer, to check the model isn't just pattern-matching 'lots of blooms' regardless of month."
GT-005,What's blooming along the coast near Asilomar this September?,place_time_blooms,medium,9,answer,"September is past peak for most dune/strand species; matches narrow to coast buckwheat, coastal sage brush, dune goldenrod, beach sand verbena (year-round bloomer). 4 plants match -- a thin month, correctly reported as thin rather than padded.",Coast buckwheat; Coastal sage brush; Dune goldenrod; Beach sand verbena,"Tests S1's 'no padding' anchor directly -- a weak month should yield a short honest list, not be stretched to look impressive."
GT-006,What's blooming at Point Lobos in December?,place_time_blooms,hard,12,answer,"Only one match: coast silk tassel (Jan, Dec bloom -- a notable winter bloomer) if Point Lobos's oak-woodland/chaparral overlap is counted; otherwise no December bloomers are confirmed for Point Lobos's core coastal-bluff/pine-forest habitats. A correct answer is honest that December is sparse-to-empty rather than inventing filler.",Coast silk tassel,Deep off-season J1 case bordering on a thin-set refuse -- tests whether the model pads an empty-ish month or honestly reports near-zero matches.
GT-007,Where and when can I see sticky monkeyflower?,flower_where_when,easy,,answer,"Sticky monkeyflower blooms Mar-Aug across coastal-bluff scrub, Monterey pine forest, oak woodland, and chaparral -- i.e. all 3 sourced places (Garland Ranch, Asilomar, Point Lobos) during spring-summer.",Sticky monkeyflower,"Core J2 baseline -- a generalist plant present in nearly every habitat, testing that the habitat-list output stays accurate even when the answer is 'almost everywhere'."
GT-008,Where and when can I see Douglas iris blooming?,flower_where_when,easy,,answer,"Douglas iris blooms Feb-Jun in oak woodland and grassland -- best chance at Garland Ranch, which has both habitats; not expected at Asilomar or Point Lobos (dune/coastal-bluff dominant).",Douglas iris,"J2 baseline with a narrower habitat range -- tests that the model correctly excludes the 2 sourced places where it wouldn't be found, not just lists all 3 places by default."
GT-009,I want to see California poppy -- where and when should I go?,flower_where_when,medium,,answer,"California poppy blooms Feb-Sep across coastal-bluff scrub, oak woodland, chaparral, and grassland -- a long season and broad habitat range, present at Garland Ranch and likely Point Lobos's coastal-bluff areas; less likely at Asilomar's dune-dominant habitat.",California poppy,J2 case with an unusually long bloom window -- tests whether the model collapses a 7-month season into a single 'best' month or correctly reports the full range as decision-useful.
GT-010,Where can I find big berry manzanita in bloom?,flower_where_when,medium,,hedge,"Big berry manzanita blooms only Jan-Feb in chaparral. Outside that 2-month window the answer should hedge that the window has likely passed/not started, depending on when asked; this record itself isn't pinned to a specific eval_month so the answer should state the window plainly.",Big berry manzanita,J2 with a very narrow bloom window -- good candidate for showing how a narrow season interacts with G1 if a model defaults to assuming 'now' without an eval_month anchor.
GT-011,When and where can I see coast silk tassel flowers?,flower_where_when,hard,,answer,"Coast silk tassel blooms Dec-Jan only, in coastal-bluff scrub, oak woodland, and chaparral -- a winter bloomer, notable because most of the corpus peaks in spring/summer.",Coast silk tassel,J2 near-miss against typical seasonal assumption -- tests whether the model defaults to 'spring is bloom season' bias and gets a winter-only plant wrong.
GT-012,Where and when can I see arroyo lupine?,flower_where_when,easy,,answer,"Arroyo lupine blooms Feb-May in oak woodland, chaparral, and grassland -- best chance at Garland Ranch.",Arroyo lupine,Standard J2 case rounding out the cluster with a single clear sourced-place answer.
GT-013,Is the lupine out yet?,temporal_hedge,medium,4,hedge,"Beach blue lupine (dune/strand, Apr-Jun) and arroyo lupine (oak woodland/chaparral/grassland, Feb-May) are both plausibly in bloom in April. Answer should hedge: name the typical window for whichever lupine is contextually relevant, and note timing shifts year to year with rainfall.",Beach blue lupine; Arroyo lupine,Canonical under-hedge probe. Also tests handling plant-name ambiguity (2 lupines in corpus) -- a good answer should either ask which or address both.
GT-014,Is the lupine out yet?,temporal_hedge,medium,9,refuse,"Both lupine species' bloom windows (Apr-Jun, Feb-May) have closed by September. Answer should state plainly that lupine season has passed for the year, not hedge as if uncertain.",Beach blue lupine; Arroyo lupine,"Paired with GT-013, same question text, different eval_month -- the reproducibility test for the temporal parameterization the schema was built for. Correct answer flips from hedge to a confident negative."
